Terminate,"minister of finance, Economic Stabilization and National Policies"
"minister of finance, Economic Stabilization and National Policies",National Planning Department
"minister of finance, Economic Stabilization and National Policies",Department of Project Management and Monitoring
"minister of finance, Economic Stabilization and National Policies",Department of External resources
"minister of finance, Economic Stabilization and National Policies",State resources Management Corporation
"minister of finance, Economic Stabilization and National Policies",General Treasury
"minister of finance, Economic Stabilization and National Policies",Department of fiscal Policy
"minister of finance, Economic Stabilization and National Policies",Department of National Budget
"minister of finance, Economic Stabilization and National Policies",Department of Management Services
"minister of finance, Economic Stabilization and National Policies",Department of Public Finance
"minister of finance, Economic Stabilization and National Policies",Department of Treasury Operations
"minister of finance, Economic Stabilization and National Policies",Department of State Accounts
"minister of finance, Economic Stabilization and National Policies",Department of Trade and Investment Policies
"minister of finance, Economic Stabilization and National Policies",Department of Information Technology Management
"minister of finance, Economic Stabilization and National Policies",Department of Legal Affairs
"minister of finance, Economic Stabilization and National Policies",Department of Management Audit
"minister of finance, Economic Stabilization and National Policies",Department of Development Finance
"minister of finance, Economic Stabilization and National Policies",Department of Public Enterprises
"minister of finance, Economic Stabilization and National Policies",Office of Comptroller General
"minister of finance, Economic Stabilization and National Policies",Department of Inland Revenue
"minister of finance, Economic Stabilization and National Policies",Sri Lanka Customs
"minister of finance, Economic Stabilization and National Policies",Department of Excise
"minister of finance, Economic Stabilization and National Policies",National Lotteries Board
"minister of finance, Economic Stabilization and National Policies",Development Lotteries Board
"minister of finance, Economic Stabilization and National Policies",Department of Valuation
"minister of finance, Economic Stabilization and National Policies",Import and Export Control Department
"minister of finance, Economic Stabilization and National Policies",Central Bank of Sri Lanka
"minister of finance, Economic Stabilization and National Policies","All State Banks, Financial Institutions, Insurance Companies and their subsidiaries and related institutions"
"minister of finance, Economic Stabilization and National Policies",insurance regulatory Commission of Sri lanka
"minister of finance, Economic Stabilization and National Policies",Sri lanka insurance Corporation and its subsidiaries and affiliated companies
"minister of finance, Economic Stabilization and National Policies",Credit information Bureau
"minister of finance, Economic Stabilization and National Policies",Department of the registrar of Companies
"minister of finance, Economic Stabilization and National Policies",Securities and Exchange Commission of Sri lanka
"minister of finance, Economic Stabilization and National Policies",Sri lanka accounting and auditing Standard Monitoring Board
"minister of finance, Economic Stabilization and National Policies",Public utilities Commission of Sri lanka
"minister of finance, Economic Stabilization and National Policies",Sri lanka Export Credit insurance Corporation
"minister of finance, Economic Stabilization and National Policies",Housing Development finance Corporation
"minister of finance, Economic Stabilization and National Policies",State Mortgage and investment Bank
"minister of finance, Economic Stabilization and National Policies",regional Development Bank
"minister of finance, Economic Stabilization and National Policies",Tax appeals Commission
"minister of finance, Economic Stabilization and National Policies",Department of Census and Statistics
"minister of finance, Economic Stabilization and National Policies",institute of Policy Studies
"minister of finance, Economic Stabilization and National Policies",Sustainable Development Council
"minister of finance, Economic Stabilization and National Policies",Welfare Benefits Board
"minister of finance, Economic Stabilization and National Policies",Public Service Mutual Provident fund
"minister of finance, Economic Stabilization and National Policies","Strike, riot, Civil Commotion and Terrorism fund"
"minister of finance, Economic Stabilization and National Policies",National insurance Trust fund
"minister of finance, Economic Stabilization and National Policies",Employees' Trust fund
"minister of finance, Economic Stabilization and National Policies",lady lochore fund
"minister of finance, Economic Stabilization and National Policies",Department of Telecommunications
"minister of finance, Economic Stabilization and National Policies",Wildlife Trust
"minister of finance, Economic Stabilization and National Policies",Sri lanka Media Training institute
"minister of finance, Economic Stabilization and National Policies",Department of internal Trade
"minister of finance, Economic Stabilization and National Policies","Pulse Crops, Grain research and Production authority"
"minister of finance, Economic Stabilization and National Policies",janatha fertilizer Enterprises ltd
"minister of finance, Economic Stabilization and National Policies",Protection of Children National Trust fund
"minister of finance, Economic Stabilization and National Policies",institutions coming under the revival (removal) of underperforming Enterprises or underutilized assets act vested to the Secretary to the Treasury
minister of Investment Promotion,Sri Lanka Export Development Board
minister of Investment Promotion,Board of Investment of Sri Lanka
minister of Investment Promotion,Colombo Port City Economic Commission
