Terminate,All
Minister of Sports and Youth Affairs,National Youths Services Cooperative Society Limited
Minister of Sports and Youth Affairs,National Centre for Leadership Development
Minister of Irrigation,Department of Irrigation
Minister of Irrigation,"Major irrigation development projects including Uma Oya, Moragahakanda, Kalu Ganga, Gin Ganga, Nilwala, Malwathu Oya"
Minister of Irrigation,Central Engineering Consultancy Bureau and its subsidiaries and affiliated companies
Minister of Irrigation,Sri Lanka Mahaweli Authority
Minister of Irrigation,Engineering Council of Sri Lanka
Minister of Labour and Foreign Employment,Department of Labour
Minister of Labour and Foreign Employment,National Institute of Labour Studies
Minister of Labour and Foreign Employment,National Institute for Occupational Safety and Health
Minister of Labour and Foreign Employment,Office of the Commissioner of Workmen's Compensation
Minister of Labour and Foreign Employment,National Productivity Secretariat
Minister of Labour and Foreign Employment,Shrama Vasana Fund
Minister of Labour and Foreign Employment,Department of Manpower and Employment
Minister of Labour and Foreign Employment,Sri Lanka Foreign Employment Bureau
Minister of Labour and Foreign Employment,Foreign Employment Agency of Sri Lanka (Pvt.) Ltd.
Minister of Public Security,Sri Lanka Police
Minister of Public Security,National Police Academy
Minister of Public Security,Secretariat for Non- Governmental Organizations
"Minister of Trade, Commerce and Food Security",Department of Commerce
"Minister of Trade, Commerce and Food Security",Lanka Sathosa Ltd.
"Minister of Trade, Commerce and Food Security",Lanka General Trading Company Ltd.
"Minister of Trade, Commerce and Food Security",Cooperative Wholesale Establishment
"Minister of Trade, Commerce and Food Security",Mahapola Trust Fund
"Minister of Trade, Commerce and Food Security",Regional Economic Centres
"Minister of Trade, Commerce and Food Security",Sri Lanka Accreditation Board for Conformity Assessment
"Minister of Trade, Commerce and Food Security","Department  of Measurement Units, Standards and Services"
"Minister of Trade, Commerce and Food Security",National Intellectual Property Office of Sri Lanka
"Minister of Trade, Commerce and Food Security",Consumer Affairs Authority
"Minister of Trade, Commerce and Food Security",Department of Cooperative Development (Registrar of Cooperative Societies)
"Minister of Trade, Commerce and Food Security",Cooperative Employees Commission
"Minister of Trade, Commerce and Food Security",National Institute of Cooperative Development
"Minister of Trade, Commerce and Food Security",Food Commissioner's Department
