Terminate,minister of Defence
minister of Defence,Office of the Chief of Defence Staff
minister of Defence,Sri lanka army		
minister of Defence,Sri lanka Navy		
minister of Defence,Sri lanka air force		
minister of Defence,State intelligence Service		
minister of Defence,Civil Security Department
minister of Defence,Department of Multipurpose Development Task force		
minister of Defence,National Cadet Corps		
minister of Defence,National authority for the implementation of Chemical Weapons Convention		
minister of Defence,Sir john Kotelawala Defence university		
minister of Defence,Defence Services Command and Staff College		
minister of Defence,Miloda institute - as a faculty of Kotelawala Defence university		
minister of Defence,Defence Services School		
minister of Defence,Defence research and Development Centre		
minister of Defence,institute of National Security Studies		
minister of Defence,National Defence College		
minister of Defence,rakna arakshana lanka ltd		
minister of Defence,Coast Guard Department of  Sri lanka		
minister of Defence,National Defence fund		
minister of Defence,ranaviru Seva authority		
minister of Defence,api Wenuwen api fund		
minister of Defence,Department of Meteorology		
minister of Defence,National Disaster Management Council		
minister of Defence,Disaster Management Centre		
minister of Defence,National Disaster relief Services Centre		
minister of Defence,National Building research Organization		
minister of Defence,Telecommunication regulatory Commission of Sri lanka and allied institutions		
Terminate,minister of Technology
minister of Technology,information and Communication Technology agency and allied    institutions		
minister of Technology,Sri lanka Computer Emergency readiness Team		
minister of Technology,Sri lanka Telecom and its Subsidiaries and allied institutions		
minister of Technology,Sri lanka Standards institute		
Terminate,minister of Investment Promotion
minister of Investment Promotion,Colombo lotus Tower Management Company (Pvt.) limited		
minister of Investment Promotion,Techno Park Development Company (Pvt.) limited		
minister of Investment Promotion,information Technology Parks		
minister of Investment Promotion,Sri Lanka Export Development Board		
minister of Investment Promotion,Board of Investment of Sri Lanka		
minister of Investment Promotion,Colombo Port City Economic Commission		
minister of Industries,Industrial Technology Institute		
minister of Public Security,Department of Registration of Persons		
minister of Public Security,Department of Immigration and Emigration		
minister of Public Security,National Dangerous Drugs Control Board		
